CEBS_PubNumber,CEBS_TestArticleName,CEBS_DTXSID,CEBS_CASRN,CEBS_AMES_CONCLUSION,CEBS_MALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_MALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_IN_VITRO_MN_CONCLUSION,CEBS_MALE_RAT_COMET,CEBS_FEMALE_RAT_COMET,CEBS_MALE_MOUSE_COMET,CEBS_FEMALE_MOUSE_COMET
,m-Phenetidine,DTXSID0025862,621-33-0,Weakly Positive,,,,,,,,,
,N-Acetyl-m-aminophenol,DTXSID3022089,621-42-1,Negative,,,,,,,,,
,"1,3-Dihydroxyacetone dimer",DTXSID6040165,62147-49-3,Positive,,,,,,,,,
,p-(Diethylamino)benzenediazonium chloride,DTXSID9025033,6217-19-2,Positive,,,,,,,,,
,Tri-N-amylamine,DTXSID0026177,621-77-2,Negative,,,,,,,,,
,4-Amino-4'-hydroxy-3-methyl-diphenylamine,DTXSID9024483,6219-89-2,Positive,,,,,,,,,
,"1,1'-(1,2-Ethanediylbis(thio))bis-benzene",DTXSID1024625,622-20-8,Negative; Negative,,,,,,,,,
TR-442,p-Nitrobenzoic acid,DTXSID3020966,62-23-7,Positive,,,Negative,Negative,,,,,
,"N,N-Dimethylvaleramide",DTXSID1025063,6225-06-5,Negative,,,,,,,,,
,p-Tolylurea,DTXSID7021366,622-51-5,Negative,,,,,,,,,
,Furfural acetone,DTXSID2025345,623-15-4,Negative,,,,,,,,,
,Furfuryl acetate,DTXSID7025346,623-17-6,Positive,,,,,,,,,
,beta-2-Furylacrolein,DTXSID2025349,623-30-3,Negative,,,,,,,,,
,Phenylmercuric acetate,DTXSID7021150,62-38-4,Negative; Equivocal,,,,,,,,,
TR-174,p-Phenylenediamine dihydrochloride,DTXSID8021141,624-18-0,Positive,,,,,,,,,
,Phenacetin,DTXSID1021116,62-44-2,Negative,,,,,,,,,
,alpha-Lipoic acid,DTXSID2046541,62-46-4,Equivocal,,,,,,,,,
,Methyl isocyanate,DTXSID1023786,624-83-9,Negative; Negative,,,Negative,Negative,,,,,
,Dimethyldisulfide,DTXSID4025117,624-92-0,Negative,,,,,,,,,
,Ethyl methanesulfonate,DTXSID6025309,62-50-0,Positive,Positive; Positive; Positive,,Positive; Positive,,,Positive,,,
,Aniline,DTXSID8020090,62-53-3,Negative,,,Positive; Positive,Positive,,,,,
,2-Nitroethanol,DTXSID8025751,625-48-9,Weakly Positive; Weakly Positive; Positive; Equivocal,,,Equivocal,,,,,Negative,
,Thioacetamide,DTXSID9021340,62-55-5,Negative,,,,,,,,,
,Thiourea,DTXSID9021348,62-56-6,Negative,,,,,,,,,
,"2,5-Dimethylfuran",DTXSID7022093,625-86-5,Negative,,,,,,,,,
,2-Amino-6-chloro-4-nitrophenol hydrochloride,DTXSID0024472,62625-14-3,Positive,,,,,,,,,
,"3,5-Dichloroaniline",DTXSID7030307,626-43-7,Negative,,,,,,,,,
,1-Nitrobutane,DTXSID8020967,627-05-4,Negative; Negative,,,,,,,,,
,3-Bromo-1-propanol,DTXSID3024657,627-18-9,Positive,,,,,,,,,
,3-Chloro-1-propanol,DTXSID9024809,627-30-5,Positive,,,,,,,,,
"TR-010, TR-342",Dichlorvos,DTXSID5020449,62-73-7,Positive,Negative,,,,,,,,
,N-Nitrosodimethylamine,DTXSID7021029,62-75-9,Positive; Positive; Positive; Positive,,,,,,,,,
,Dimethyl adipate,DTXSID8025096,627-93-0,Negative,Equivocal,,,,,,,,
,Hexanamide,DTXSID6020696,628-02-4,Negative; Equivocal,,,,,,,,,
,2-Amino-6-nitrobenzothiazole,DTXSID3024491,6285-57-0,Positive; Positive,,,,,,,,,
,"3,4-Dichlorobenzaldehyde",DTXSID0024971,6287-38-3,Negative,,,,,,,,,
,Adipamide,DTXSID4020032,628-94-4,Negative,,,,,,,,,
,Ethylene glycol diethyl ether,DTXSID5025285,629-14-1,Positive,,,,,,,,,
,"1,1,1,2-Tetrabromoethane",DTXSID6026082,630-16-0,Weakly Positive,,,,,,,,,
,"1,1,1,2-Tetrachloroethane",DTXSID2021317,630-20-6,Negative; Negative,,,Positive,,,,,,
TR-560,Androstenedione,DTXSID8024523,63-05-8,Negative; Negative,Negative,,Negative,Equivocal,,,,,
TR-537,Dibromoacetic acid,DTXSID1023815,631-64-1,Positive,,,Positive,Negative,,,,,
,Methylene bis(thiocyanate),DTXSID8025599,6317-18-6,Negative,,,Negative,Negative,,,,,
,"2,4,5-Triethoxyacetophenone",DTXSID8026220,63213-29-6,Equivocal,,,,,,,,,
,Carbaryl,DTXSID9020247,63-25-2,,,,,,,Positive,,,
,Tetrabromophthalic anhydride,DTXSID6026084,632-79-1,Negative,,,,,,,,,
,C.I. Basic Violet 14,DTXSID6021246,632-99-5,Positive,,,,,,,,,
,Berberine chloride,DTXSID8024602,633-65-8,Negative,,,Negative,,,,,,
,"Quaternary ammonium compounds, benzyl-C8-18-alkyldimethyl, chlorides",DTXSID1048122,63449-41-2,Negative,,,,,,,,,
,"1,2,3,4-Tetrachlorobenzene",DTXSID6026088,634-66-2,Negative,,,,,,,,,
,"1,2,3,5-Tetrachlorobenzene",DTXSID1026089,634-90-2,Negative,,,,,,,,,
,"2,4,6-Trichloroaniline",DTXSID6021379,634-93-5,Negative; Equivocal,,,,,,,,,
,Thonzylamine hydrochloride,DTXSID8026147,63-56-9,Negative,,,,,,,,,
,2-Amino-4-chloro-5-nitrophenol,DTXSID5024471,6358-07-2,Positive,,,,,,,,,
,"2-(2,4-Dinitroanilino)phenol",DTXSID9025160,6358-23-2,Positive,,,,,,,,,
,C.I. Direct Red 39,DTXSID8025204,6358-29-8,Negative,,,,,,,,,
,C.I. Pigment Yellow 74,DTXSID7025920,6358-31-2,Negative,,,,,,,,,
,C.I. Solvent Red 80 (8CI),DTXSID6024838,6358-53-8,Positive,,,,,,,,,
TR-030,Diarylanilide yellow,DTXSID1021451,6358-85-6,Negative,,,,,,,,,
TR-153,o-Toluidine hydrochloride,DTXSID7021364,636-21-5,Positive; Negative,,,,,,,,,
,5-Methyl-2-thiouracil,DTXSID9025665,636-26-0,Negative,,,,,,,,,
TR-126,"2,5-Toluenediamine sulfate",DTXSID9020405,6369-59-1,Positive,,,,,,,,,
TR-335,C.I. Acid Orange 3,DTXSID1021081,6373-74-6,Positive,,,,,,,,,
,Sulfanilamide,DTXSID4023622,63-74-1,Equivocal,,,,,,,,,
,2-Methyl-2-ethoxypropane (ETBE),DTXSID0025604,637-92-3,Negative,Negative,,Negative,,,,,,
,m-Toluidine hydrochloride,DTXSID2021363,638-03-9,Negative,,,,,,,,,
,Sodium erythorbate,DTXSID5020570,6381-77-7,Weakly Positive; Negative,,,,,,,,,
TR-072,Phenoxybenzamine hydrochloride,DTXSID0021127,63-92-3,Positive,,,,,,,,,
,4-(N-Nitroso-N-methylamino)-1-(3-pyridyl)-1-butanone,DTXSID3020881,64091-91-4,,,,Negative,,,,,,
TR-510,Ethanol,DTXSID9020584,64-17-5,Negative,,,,,,,,,
,Formic acid,DTXSID2024115,64-18-6,Negative,,,,,,,,,
,Acetic acid,DTXSID5024394,64-19-7,Negative,,,,,,,,,
,"1,3-bis(2-Benzothiazolylmercaptomethyl) urea",DTXSID3024607,64216-20-2,Positive,,,,,,,,,
,"2,2'-Dimorpholinodiethyl Ether",DTXSID9042170,6425-39-4,Negative; Negative,,,,,,,,,
,C.I. Direct Violet 32,DTXSID3025205,6428-94-0,Negative,,,,,,,,,
TR-338,Erythromycin stearate,DTXSID0020571,643-22-1,Negative,,,,,,,,,
,ortho-Phthalaldehyde,DTXSID6032514,643-79-8,Positive,Negative,Negative,Equivocal,Negative,,,,,
,1-Iodo-3-nitrobenzene,DTXSID5025449,645-00-1,Negative,,,,,,,,,
,Hexamethylmelamine,DTXSID4022579,645-05-6,Negative,,,,,,,,,
,m-Nitrobenzamide,DTXSID5025732,645-09-0,Positive,,,,,,,,,
,Nonylphenyl diphenyl phosphate (NPDPP mixed isomers),DTXSID4025797,64532-97-4,Negative; Negative; Equivocal,,,,,,,,,
,cis-Stilbene,DTXSID5026049,645-49-8,Negative,,,,,,,,,
,2-Ethyl-2-hexenal,DTXSID4025296,645-62-5,Negative,,,,,,,,,
TR-405,C.I. Acid Red 114,DTXSID8021224,6459-94-5,Positive,,,,,,,,,
,1-Nitrohexane,DTXSID3025758,646-14-0,Negative,,,,,,,,,
,Iodoacetic acid,DTXSID5025445,64-69-7,Weakly Positive; Equivocal,,,,,,,,,
TR-411,C.I. Pigment Red 23,DTXSID3021227,6471-49-4,Positive,,,,,,,,,
TR-519,Stoddard solvent (type lIC),DTXSID4026052,64742-88-7,Negative,,,Negative,Negative,,,,,
TR-344,Tetracycline hydrochloride,DTXSID6021321,64-75-5,Negative,,,,,,,,,
TR-031,Tolbutamide,DTXSID8021359,64-77-7,Negative,,,,,,,,,
,Colchicine,DTXSID5024845,64-86-8,Negative,,,,,,,,,
,Ionic Liquid: 1-Ethyl-3-methylimidazolium Chloride,DTXSID1041180,65039-09-0,Negative,Negative,Negative,Negative,Equivocal,,,,,
TR-445,Scopolamine hydrobromide trihydrate,DTXSID0021258,6533-68-2,Negative,,,,,,,,,
,2-Hydroxybenzamide,DTXSID3021726,65-45-2,Negative; Negative,,,,,,,,,
,Silymarin,DTXSID5023580,65666-07-1,Positive,,,,,,,,,
,Benzoic acid,DTXSID6020143,65-85-0,Negative; Negative,,,,,,,,,
,Orotic acid,DTXSID0025814,65-86-1,Negative,,,,,,,,,
,"Isophthalic acid, trimethylolethane soybean polymer",DTXSID2025472,66070-63-1,Equivocal,,,,,,,,,
,Methyl methanesulfonate,DTXSID7020845,66-27-3,Positive,,,,,,,,,
,o-Phenanthroline,DTXSID1025857,66-71-7,Negative,,,,,,,,,
,Cycloheximide,DTXSID6024882,66-81-9,Negative,,,,,,,,,
TR-341,Nitrofurantoin,DTXSID7020972,67-20-9,Positive; Positive; Positive; Positive; Positive; Positive; Positive,,,Negative,,,,,,
,DL-ethionine,DTXSID0020579,67-21-0,Negative,,,,,,,,,
,D-Phenylalanine,DTXSID4025876,673-06-3,Negative,,,,,,,,,
TR-554,5-(Hydroxymethyl)-2-furfural,DTXSID3030428,67-47-0,Weakly Positive; Negative,,,Negative,Negative,,,,,
,Choline chloride,DTXSID4020325,67-48-1,Negative; Negative; Negative,,,,,,,,,
,Methanol,DTXSID2021731,67-56-1,Negative; Equivocal,,,,,,,,,
,Isopropanol,DTXSID7020762,67-63-0,Negative,,,,,,,,,
,"(3-Methylbutoxy)acetic acid, 2-propenyl ester",DTXSID9025580,67634-00-8,Negative,,,,,,,,,
,Acetone,DTXSID8021482,67-64-1,Negative,,,Negative,Negative,,,,,
TR-000_(67-66-3),Chloroform,DTXSID1020306,67-66-3,Negative,,,Positive,,,,,,
,Dimethyl sulfoxide,DTXSID2021735,67-68-5,Negative; Negative,,,,,,,,,
"TR-068, TR-361",Hexachloroethane,DTXSID7020689,67-72-1,Negative; Negative,,,,,,,,,
TR-398,Polybrominated biphenyl mixture (Firemaster FF-1),DTXSID0021173,67774-32-7,,,,Negative,,,,,,
,Methyl soyate,DTXSID6031623,67784-80-9,Negative,,,Negative,,,,,,
,Diethyl dibutylphosphoramidate,DTXSID8025042,67828-17-5,Equivocal,,,,,,,,,
,Fluorotelomer alcohol 8+2 (8:2 FTOH),DTXSID7029904,678-39-7,Negative,,,,,,,,,
,Hexylbenzoate,DTXSID9025403,6789-88-4,Negative,,,,,,,,,
,Vitamin d3,DTXSID6026294,67-97-0,Negative,,,,,,,,,
,"Fatty acids, tall oil, polymers with glycerol, maleic anhydride, phthalic anhydride & soybean oil",DTXSID4025321,68015-41-8,Negative,,,,,,,,,
,Hexamethylphosphoramide,DTXSID6020694,680-31-9,Negative,,,,,,,,,
,Thioglycolic acid,DTXSID8026141,68-11-1,Negative,,,,,,,,,
,Dimethylformamide,DTXSID6020515,68-12-2,Negative,,,,,,,,,
,Phenolphthalein glucuronide,DTXSID70904607,6820-54-8,Negative,,,,,,,,,
,All-trans retinol,DTXSID3023556,68-26-8,Weakly Positive,,,,,,,,,
,Cyfluthrin,DTXSID5035957,68359-37-5,,,,,,,Negative,,,
,N-Nitroso-N-methylurea,DTXSID4021006,684-93-5,,,,Positive,,,,,,
TR-479,Coconut oil acid diethanolamine condensate,DTXSID0024842,68603-42-9,Negative,,,Positive,Positive,,,,,
,"2,2',4,4',5,5'-Hexabromodiphenyl ether (PBDE 153)",DTXSID4030047,68631-49-2,Negative,,,,,,,,,
,Dimethyl ditallow ammonium chloride,DTXSID9025118,68783-78-8,Negative,,,,,,,,,
,Litsea cubeba oil,DTXSID3024867,68855-99-2,Negative,,,,,,,,,
,Tributyl borate,DTXSID9026184,688-74-4,Negative; Negative,,,,,,,,,
,"Fatty acids, C5-10, esters with polypentaerythritol",DTXSID9025320,68915-66-2,Negative,,,,,,,,,
,Hamamelis water (witch hazel),DTXSID1026297,68916-39-2,Positive; Negative; Negative; Negative,,,,,,,,,
,Licorice extract,DTXSID5040170,68916-91-6,Negative,,,,,,,,,
,Isopropylated Phenol Phosphate,DTXSID4028880,68937-41-7,Negative,,,,,,,,,
,Quinacrine dihydrochloride,DTXSID6025985,69-05-6,Positive,,,,,,,,,
,Chlorpromazine hydrochloride,DTXSID7024827,69-09-0,Negative,,,,,,,,,
TR-523,Diisopropylcarbodiimide,DTXSID4025086,693-13-0,Negative; Equivocal,Negative,,Positive; Positive; Equivocal,Positive,,,,,
,4-Methylthiazole,DTXSID5027300,693-95-8,Negative,,,,,,,,,
TR-516,2-Methylimidazole,DTXSID4022107,693-98-1,Negative,Negative,,Positive; Negative,Positive,,,,,
TR-178,2-Chloromethylpyridine hydrochloride,DTXSID1020308,6959-47-3,Positive,,,Negative,,,,,,
TR-095,3-Chloromethylpyridine hydrochloride,DTXSID6020309,6959-48-4,Positive,,,Negative,,,,,,
,"2',3'-Dideoxyinosine (AIDS Initiative)",DTXSID6022927,69655-05-6,Weakly Positive,,,Negative; Negative; Negative,Negative,,,,,
TR-236,D-Mannitol,DTXSID1023235,69-65-8,Negative; Negative; Negative; Negative,,,Negative,,,,,,
,Cytarabine hydrochloride,DTXSID5024891,69-74-9,Negative; Equivocal,,,Positive,,,,,,
,Bixin,DTXSID1024629,6983-79-5,Positive; Positive,,,Negative,,,,,,
TR-584,Indole-3-carbinol,DTXSID7031458,700-06-1,Positive; Equivocal; Equivocal,Negative,,Negative,Negative,,,,,
TR-040,Hexachlorophene,DTXSID6020690,70-30-4,Negative,,,,,,,,,
,"1-Fluoro-2,4-dinitrobenzene",DTXSID8025331,70-34-8,Positive,,,,,,,,,
,p-Toluenesulfonamide,DTXSID8029105,70-55-3,Negative,Negative,Negative,Negative,Negative,,,,,
,Ethyl cyanoacrylate,DTXSID1025279,7085-85-0,Negative,Negative,,Negative,,,,,,
,"Fatty acids, tall oil reaction products with 2-[(2-aminoethyl)-amino]ethanol, quaternized with diethyl sulfate",DTXSID9025322,70955-34-9,Negative,,,,,,,,,
TR-583,Bromodichloroacetic Acid,DTXSID4024644,71133-14-7,Weakly Positive; Positive,,,Negative,Negative,,,,,
,n-Butanol,DTXSID1021740,71-36-3,Negative,,,,,,,,,
,1-Pentanol,DTXSID6021741,71-41-0,Negative,,,,,,,,,
TR-289,Benzene,DTXSID3039242,71-43-2,Negative,,,Positive; Positive; Positive; Positive; Positive; Positive; Positive,Weakly Positive; Positive; Positive; Positive,,,,,
,Linalyl anthranilate,DTXSID2025503,7149-26-0,Negative,,,,,,,,,
TR-003,"1,1,1-Trichloroethane",DTXSID0021381,71-55-6,Negative; Negative; Negative; Negative,,,Negative; Equivocal,Negative; Negative,,,,,
,Medroxyprogesteroneacetate,DTXSID0025527,71-58-9,Negative,,,,,,,,,
,beta-Bromo-beta-nitrostyrene,DTXSID3024653,7166-19-0,Positive,Negative; Negative,,Positive,Negative,,,,,
TR-318,Ampicillin trihydrate,DTXSID9020083,7177-48-2,Negative,,,,,,,,,
,Isophthalic diglycidyl ester,DTXSID7025473,7195-43-9,Positive,,,,,,,,,
,Sulfathiazole,DTXSID8026068,72-14-0,Negative,,,,,,,,,
,Prilocaine,DTXSID7031955,721-50-6,Negative,,,,,,,,,
TR-540,Methylene blue trihydrate,DTXSID0025600,7220-79-3,Positive; Positive,,,Negative; Negative,Negative,,,,,
TR-012,Endrin,DTXSID6020561,72-20-8,Negative,,,,,,,,,
,"Trichlorobenzene, polymer with 1,4-dichlorobenzene & sodium sulfide",DTXSID3026196,72276-00-7,Negative,,,,,,,,,
,Sulfamethoxazole,DTXSID8026064,723-46-6,Negative,,,,,,,,,
,beta-Carotene,DTXSID3020253,7235-40-7,Positive,,,,,,,,,
TR-035,Methoxychlor,DTXSID9020827,72-43-5,Negative; Negative,,,,,,,,,
TR-131,Tetrachlorodiphenylethane,DTXSID4020373,72-54-8,Negative,,,,,,,,,
TR-131,"p,p'-Dichlorodiphenyl dichloroethylene",DTXSID9020374,72-55-9,Negative; Negative,,,,,,,,,
TR-156,Di(p-ethylphenyl)dichloroethane,DTXSID4020589,72-56-0,Positive,,,,,,,,,
,C.I. Direct Blue 14,DTXSID4026268,72-57-1,Positive,,,,,,,,,
,"1,2-Epoxyhexadecane",DTXSID9025245,7320-37-8,Negative,,,,,,,,,
TR-071,L-Tryptophan,DTXSID5021419,73-22-3,Negative,,,,,,,,,
,Quinethazone (aquamox),DTXSID9023548,73-49-4,Negative,,,,,,,,,
,Trimethoprim,DTXSID3023712,738-70-5,Negative,,,,,,,,,
,"1,2-Epoxyoctadecane",DTXSID4025246,7390-81-0,Negative,,,,,,,,,
,p-Chlorobenzoic acid,DTXSID9024772,74-11-3,Negative,,,,,,,,,
,Hickory smoke distillate,DTXSID5040174,74113-74-9,Positive; Positive; Positive,,,,,,,,,
,"N,N'-Diphenyl-p-phenylenediamine",DTXSID9020538,74-31-7,Positive,,,,,,,,,
TR-581,Cobalt,DTXSID1031040,7440-48-4,Positive,,,Negative,Negative,,,,,
"TR-194, TR-197",Selenium sulfide,DTXSID0042375,7446-34-6,Positive,,,Negative; Negative,,,,,,
,Potassium chloride,DTXSID5021178,7447-40-7,Negative; Negative; Negative; Negative; Negative,,,,,,,,,
,Lithium chloride,DTXSID2025509,7447-41-8,Negative,,,,,,,,,
,"2',3'-Dideoxycytidine",DTXSID0023747,7481-89-2,Weakly Positive,,,Positive,,,,,,
,Methane,DTXSID8025545,74-82-8,Negative,,,,,,,,,
TR-385,Methyl bromide,DTXSID8020832,74-83-9,Positive,,,Positive,Positive,,,,,
,Ethylene,DTXSID1026378,74-85-1,Negative,,,,,,,,,
,Methyl chloride,DTXSID0021541,74-87-3,Positive,,,,,,,,,
TR-408,Mercuric chloride,DTXSID5020811,7487-94-7,Negative,,,,,,,,,
,Methylamine,DTXSID7025683,74-89-5,Negative,,,,,,,,,
,Citral diethyl acetal,DTXSID1024837,7492-66-2,Positive; Negative; Negative,,,,,,,,,
,Allyl anthranilate,DTXSID3024441,7493-63-2,Negative,,,,,,,,,
,Allyl nonanoate,DTXSID3024447,7493-72-3,Negative,,,,,,,,,
,Dimethylamine Borane,DTXSID7052494,74-94-2,Weakly Positive; Weakly Positive,,,,,,,,,
TR-363,Bromoethane (ethyl bromide),DTXSID6020199,74-96-4,Positive; Negative,,,,,,,,,
,Bromochloromethane,DTXSID4021503,74-97-5,Positive; Positive,,,,,,,,,
,1-Propyne,DTXSID0026387,74-99-7,Equivocal,,,,,,,,,
TR-346,Chloroethane,DTXSID1020302,75-00-3,Positive,,,,,,,,,
,Monoethylamine,DTXSID8025678,75-04-7,Negative,,,,,,,,,
TR-447,Acetonitrile,DTXSID7020009,75-05-8,Negative; Negative,,,Positive,Negative,,,,,
,Acetaldehyde,DTXSID5039224,75-07-0,Negative; Negative; Negative,,,,,,,,,
TR-306,Methylene chloride,DTXSID0020868,75-09-2,Positive; Positive; Negative,,,,,,,,,
TR-541,Formamide,DTXSID8025337,75-12-7,Negative; Negative; Negative,,,Negative,Negative,,,,,
,Carbon disulfide,DTXSID6023947,75-15-0,Negative; Negative,,,,,,,,,
TR-350,Tribromomethane,DTXSID1021374,75-25-2,Positive; Negative; Equivocal; Equivocal,,,Negative,,,,,,
,2-Bromopropane,DTXSID7030197,75-26-3,Positive,,,,,,,,,
"TR-321, TR-532",Bromodichloromethane,DTXSID1020198,75-27-4,Negative; Negative,,,Negative; Negative; Negative; Equivocal; Equivocal; Equivocal,Negative; Negative; Negative; Negative; Negative; Equivocal,,,,,
,Isopropylamine,DTXSID2025682,75-31-0,Negative,,,,,,,,,
,Isopropyl mercaptan,DTXSID1025481,75-33-2,Negative,,,,,,,,,
TR-066,"1,1-Dichloroethane",DTXSID1020437,75-34-3,Negative,,,,,,,,,
TR-582,Vinylidene Chloride,DTXSID8021438,75-35-4,Negative,,,Negative,Negative,,,,,
,Acetylchloride,DTXSID2023852,75-36-5,Negative,,,,,,,,,
,Dimethyltin dichloride,DTXSID5027304,753-73-1,Negative,,,,,,,,,
,Vinylidene fluoride,DTXSID3021439,75-38-7,Positive,,,,,,,,,
TR-110,Iodoform,DTXSID4020743,75-47-8,Positive; Positive,,,,,,,,,
,Trimethylamine,DTXSID2026238,75-50-3,Negative,,,,,,,,,
TR-461,Nitromethane,DTXSID2020977,75-52-5,Negative,,,Negative,Negative,,,,,
TR-267,"1,2-Propylene oxide",DTXSID5021207,75-56-9,Positive; Positive; Positive,,,Negative,,,,,,
,"Sodium phosphate, dibasic",DTXSID1026039,7558-79-4,Negative; Negative; Negative; Negative; Negative,,,,,,,,,
,Dimethylarsinic acid,DTXSID7020508,75-60-5,Negative,,,,,,,,,
,tert-Butylamine,DTXSID5024681,75-64-9,Negative,,,,,,,,,
TR-436,tert-Butyl alcohol,DTXSID8020204,75-65-0,Negative,Negative,,Negative; Negative,Negative,,,,,
TR-323,Dimethyl methylphosphonate,DTXSID0020494,756-79-6,Negative,,,,,,,,,
TR-106,Trichlorofluoromethane,DTXSID5021384,75-69-4,Negative; Negative,,,,,,,,,
,Tetramethyllead,DTXSID0026123,75-74-1,Negative,,,,,,,,,
,Chlorotrimethylsilane,DTXSID2024822,75-77-4,Weakly Positive; Negative,,,,,,,,,
,"2,2-Dimethylbutane",DTXSID4025111,75-83-2,Negative,,,,,,,,,
,2-Hydroxy-2-methylpropanenitrile,DTXSID7025427,75-86-5,Negative,,,,,,,,,
,Chloral,DTXSID7024744,75-87-6,Weakly Positive,,,,,,,,,
,tert-Butyl hydroperoxide,DTXSID9024693,75-91-2,Positive,,,,,,,,,
,Pentabromoethane,DTXSID8025830,75-95-6,Negative,,,,,,,,,
,Tribromoacetic acid,DTXSID6021668,75-96-7,Positive,,,,,,,,,
,N-Ethyl-N-nitrosourea,DTXSID8020593,759-73-9,Positive,Positive,,Positive,,,,,,
,S-ethyl dipropylthiocarbamate,DTXSID1024091,759-94-4,Negative,,,,,,,,,
,Pentachloroethane,DTXSID7021104,76-01-7,Negative,,,Negative,,,,,,
,Trichloroacetic acid,DTXSID1021378,76-03-9,Negative,,,,,,,,,
TR-065,Chloropicrin,DTXSID0020315,76-06-2,Positive; Positive,,,,,,,,,
,"1,2-Difluoro-1,1,2,2-tetrachloroethane",DTXSID5026091,76-12-0,Weakly Positive,,,,,,,,,
,DL-Camphor,DTXSID5030955,76-22-2,,,,Negative,Negative,,,,,
TR-570,alpha/beta Thujone mixture,DTXSID3040774,76231-76-0,Negative,,,Negative,Positive,,,,,
,t-Butyl formate,DTXSID4024690,762-75-4,Negative,,,,,,,,,
TR-495,Sodium nitrite,DTXSID0020941,7632-00-0,Positive,Negative,,Negative; Negative,Negative,,,,,
,Methoxyflurane,DTXSID7025556,76-38-0,Negative,,,,,,,,,
,Fumaronitrile,DTXSID7025342,764-42-1,Negative,,,,,,,,,
TR-009,Heptachlor,DTXSID3020679,76-44-8,Negative; Negative,,,,,,,,,
,Palladium chloride (2+),DTXSID4025824,7647-10-1,Negative,,,,,,,,,
,Sodium chloride,DTXSID3021271,7647-14-5,Negative; Negative,,,,,,Negative; Negative,,,
,t-Butyl glycidyl ether,DTXSID4024692,7665-72-7,Positive,,,,,,,,,
,Trichloromelamine,DTXSID5026201,7673-09-8,Negative,,,,,,,,,
TR-393,Sodium Fluoride,DTXSID2020630,7681-49-4,Negative,,,Negative,,,,,,
,N-Isopropylaniline,DTXSID7025479,768-52-5,Equivocal,,,,,,,,,
TR-139,Triphenyltin hydroxide,DTXSID1021409,76-87-9,Negative,,,,,,,,,
,"1,2-Diethylhydrazine 2HCl",DTXSID2025056,7699-31-2,Negative,,,,,,,,,
,Propylene glycol phenyl ether,DTXSID30274171,770-35-4,Negative,Negative,,,,,,,,
,Gibberellic acid,DTXSID0020656,77-06-5,Negative,,,,,,,,,
TR-465,Phenolphthalein,DTXSID0021125,77-09-8,Negative; Negative; Negative; Equivocal,,,Positive; Positive; Positive; Positive; Positive; Positive,Positive; Positive; Positive; Positive; Positive,,,,,
,Water,DTXSID6026296,7732-18-5,Positive; Negative; Negative; Negative; Negative,,,,,,Negative,,,
TR-437,Hexachlorocyclopentadiene,DTXSID2020688,77-47-4,Negative; Negative,,,Negative,Negative,,,,,
,"2-Nitro-2-methyl-1,3-propanediol",DTXSID5041437,77-49-6,Negative,,,,,,,,,
,Butyl anthranilate,DTXSID5024683,7756-96-9,Negative,,,,,,,,,
,Potassium bromate,DTXSID6020195,7758-01-2,Positive,,,,,,,,,
,Potassium bromide,DTXSID5025946,7758-02-3,Negative,,,,,,,,,
,Dibutyltin dilaurate,DTXSID6024961,77-58-7,Negative,,,,,,,,,
,Cupric sulfate,DTXSID6034479,7758-99-8,,,,Equivocal,Negative,,,,,
TR-173,Carbromal,DTXSID8020252,77-65-6,Negative; Negative,,,,,,,,,
TR-231,Stannous chloride,DTXSID8021351,7772-99-8,Negative,,,Negative,,,,,,
,Dicyclopentadiene,DTXSID5025023,77-73-6,Negative,,,,,,,,,
TR-517,Sodium chlorate,DTXSID7026025,7775-09-9,Negative,,,Negative,Negative,,,,,
,Sodium chromate,DTXSID7032056,7775-11-3,,,,Negative,,,,,,
,Divinyl sulfone,DTXSID6031253,77-77-0,,,,Not a Valid Test,,,,,,
,Potassium dichromate,DTXSID5025948,7778-50-9,Positive,,,,,,,,,
,Cyclohexyl anthranilate,DTXSID6024884,7779-16-0,Negative,,,,,,,,,
TR-102,3-Sulfolene,DTXSID6021294,77-79-2,Negative,,,,,,,,,
,"1-(2,6,6-Trimethyl-2-cyclohexene-1-yl)-1-penten-3-one",DTXSID6026240,7779-30-8,Negative,,,,,,,,,
,Isoamyl cinnamate,DTXSID4025454,7779-65-9,Negative,,,,,,,,,
,Isobutyl anthranilate,DTXSID8025460,7779-77-3,Negative,,,,,,,,,
,Ethyl-3-methyl-3-phenylglycidate,DTXSID8020591,77-83-8,Negative,,,,,,,,,
,Aluminum fluoride,DTXSID8030712,7784-18-1,Negative,,,,,,,,,
,Sodium arsenite,DTXSID5020104,7784-46-5,,,,,,,Negative,,,
,Beryllium sulfate tetrahydrate,DTXSID3024603,7787-56-6,Negative,,,,,,,,,
TR-546,Sodium dichromate dihydrate (VI),DTXSID6032061,7789-12-0,Positive,,,Positive; Negative; Negative; Negative; Equivocal,Negative,,,,,
,Sodium bromate,DTXSID9023837,7789-38-0,,,,Positive; Positive; Positive,Positive; Positive; Positive,,,,,
,Ammonium perchlorate,DTXSID4024515,7790-98-9,Negative,,,Negative,,,,,,
,Tetraethyl lead,DTXSID7023801,78-00-2,Negative; Negative,,,,,,,,,
